Word,Frequency
tatay,38
dyip,30
lumang,7
sanggol,7
pala,7
rin,7
ba,6
mo,6
alam,6
y,5
ipinanganak,5
kay,5
nanay,5
nang,4
tsuper,4
manibela,4
pasahero,4
suwerte,4
ligtas,4
nga,4
pastol,4
tomas,4
mang,4
barangay,4
buhay,3
lagi,3
kuwento,3
parang,3
kaarawan,3
tao,3
lang,3
hayop,3
wala,3
mamunga,3
akong,3
lugar,3
simbang,3
gabi,3
pagmamaneho,3
nakalilimutang,2
naman,2
tiyak,2
hawakan,2
dinig,2
lalaki,2
simbahan,2
inihatid,2
ibinigay,2
si,2
kamay,2
diyos,2
side,2
biglang,2
mabuti,2
mirror,2
kapanganakan,2
masuwerte,2
kuya,2
upuan,2
malambot,2
ate,2
gabing,2
sasakyan,2
hitik,2
ring,2
bata,2
linggo,2
tawanan,2
matagal,2
buong,2
raw,2
alagang,2
busina,2
banayad,2
kaming,2
babaeng,2
sakay,2
pagpasada,2
sinasabi,2
tanong,2
unang,2
nagkita,2
noong,2
aba,2
ibang,2
magkakapatid,2
narinig,2
tanim,2
talaga,2
bagong,2
loob,1
natanggap,1
boses,1
nangatal,1
pamilya,1
ibinilin,1
16,1
bunso,1
isinilang,1
nagiging,1
mahaba,1
kinuha,1
sumakit,1
regalong,1
pinakamagandang,1
tiyan,1
nakararating,1
ospital,1
lumabas,1
iyak,1
papunta,1
tinutukoy,1
simula,1
oo,1
bang,1
naaalala,1
petsa,1
ganoon,1
nasabik,1
susunod,1
malusog,1
ikinukuwento,1
madali,1
1999,1
pagbubuntis,1
delikado,1
kalagayan,1
maipanganak,1
kapareho,1
pagbibiro,1
sumasarap,1
patuloy,1
sana,1
pagtatapos,1
binyag,1
kasal,1
okasyon,1
masasayang,1
saksi,1
mabilis,1
pauwi,1
malalayong,1
mapuntahan,1
magkakapamilyang,1
halakhakan,1
magagandang,1
pakinggan,1
nagpunta,1
magkatotoo,1
pangarap,1
bigla,1
nabiyahe,1
pinakamagaling,1
mahal,1
daanan,1
pipiliing,1
daang,1
gagabayan,1
pakiramdam,1
sarap,1
mahigpit,1
yakap,1
hawak,1
tila,1
naramdaman,1
pagkakaupo,1
pagkakahawak,1
salubungin,1
sunduin,1
ulam,1
handa,1
mong,1
titser,1
tinanong,1
anak,1
inalagaan,1
naramdamang,1
alaga,1
munting,1
pupuntahan,1
nawawala,1
tuwing,1
librong,1
nonon,1
perla,1
nina,1
nabibili,1
ginugulugulo,1
buhok,1
astig,1
sabadong,1
ihatid,1
nagpreno,1
tumingin,1
uli,1
bumusina,1
kaliwa,1
kanan,1
ibinaling,1
pinindot,1
hinahawakan,1
ginaya,1
umupo,1
sumakay,1
day,1
rest,1
disyembre,1
kaymito,1
ikinuwento,1
mapa,1
nagsasabing,1
tagapastol,1
nagpapagupit,1
barbero,1
taong,1
utak,1
arkilahin,1
luma,1
kadyang,1
lola,1
magkakandahilo,1
sasama,1
maghahatid,1
gulod,1
pagsisimula,1
dadaigin,1
minsa,1
iniisis,1
kayo,1
makatapos,1
pagbutihin,1
maynila,1
mapagtatapos,1
tapalodo,1
araw,1
pinakamahal,1
linisin,1
sira,1
agad,1
lagutok,1
ingit,1
pinakabagong,1
umpukan,1
problema,1
hapon,1
nagtapos,1
mas,1
magtatrabaho,1
kaanak,1
naiwang,1
hagulgol,1
malalakas,1
ikinasal,1
silang,1
nagkatuluyan,1
magkasintahang,1
bininyagan,1
nakasasakay,1
nakakikilala,1
sinasabing,1
swabe,1
makararating,1
magiging,1
daplis,1
kang,1
aarkilahin,1
sukatan,1
ulo,1
uminit,1
nakitang,1
gasgas,1
paroroonan,1
daan,1
masisikip,1
nakasisingit,1
preno,1
tapakan,1
humihinga,1
tanging,1
maipapamana,1
dagdag,1
atis,1
okra,1
sitaw,1
inaaning,1
banaba,1
chico,1
pakwan,1
santol,1
pang,1
mangga,1
naisip,1
daw,1
sabit,1
madalas,1
puno,1
ampalaya,1
gulay,1
paligo,1
taglay,1
dumarami,1
nabubuhay,1
itanim,1
madyik,1
pambihirang,1
kayang,1
manok,1
sakitin,1
pabo,1
aso,1
baboy,1
kambing,1
baka,1
kalabaw,1
laging,1
nakakapunta,1
bahay,1
kundi,1
sabado,1
lalo,1
sumama,1
tataymadalas,1
malakas,1
sagot,1
magmamana,1
nakauuwi,1
nasabi,1
natin,1
parating,1
tulin,1
tibay,1
nadaragdagan,1
bakasyon,1
tagakuha,1
bayad,1
tagasukli,1
nasa,1
paradahan,1
naghihintay,1
kalangan,1
bato,1
gulong,1
punasan,1
sinisigurado,1
nalagyan,1
tubig,1
radiator,1
pumasada,1
aberya,1
mundo,1
