Word,Frequency
pusa,22
aling,13
salvacion,13
si,11
nang,9
aklatang,7
pusang,7
kuting,6
kaniyang,6
bakuran,5
pintor,5
ilang,5
upang,4
y,4
buwan,4
tahanan,4
daluyong,3
lang,3
bagong,3
linggo,3
librarian,3
ngunit,3
silang,3
araw,3
basura,3
tao,3
kahon,3
aklat,3
2,2
batid,2
naman,2
taon,2
itim,2
mo,2
giliw,2
pook,2
palaris,2
di,2
ayon,2
kalmot,2
manghiram,2
sinumang,2
kilala,2
nariyan,2
bumisita,2
nagsimula,2
hapon,2
anak,2
matagal,2
lumabas,2
masukal,2
siyang,2
halaga,2
mas,2
natagpuan,2
oras,2
magulang,2
pamilya,2
laging,2
hihiram,1
nasaksihan,1
sulok,1
madumi,1
sabog,1
kaayusan,1
gumagalaw,1
malapit,1
nalikhang,1
larawan,1
naghihikab,1
magkapamilya,1
taglay,1
nasa,1
nabigla,1
rikit,1
a,1
sining,1
hiyaw,1
waring,1
lobo,1
nakatuklas,1
mamahaling,1
napili,1
pagkaraan,1
itong,1
nagmarka,1
mamatay,1
obra,1
dapithapon,1
buhay,1
nahiwagaan,1
pinangaralan,1
nagkakaedad,1
naliwanagan,1
isipan,1
bumisitang,1
dala,1
talagang,1
nagtungo,1
maghanap,1
inspirasyon,1
lilikha,1
ba,1
pagtataka,1
wala,1
maestra,1
pangako,1
nilatag,1
gamit,1
magaslaw,1
lumublob,1
lata,1
pintura,1
narinig,1
kanbas,1
saka,1
nasaktan,1
lagdang,1
kagamitan,1
opisina,1
maibabalik,1
wari,1
kaniya,1
haplos,1
bangis,1
naglaho,1
kakalingang,1
ngayo,1
dahas,1
kalupitan,1
nawalan,1
lansangan,1
palaboy,1
mabangis,1
ugjab,1
lumad,1
batang,1
makatagpo,1
nangyari,1
bata,1
bang,1
maraming,1
magkaibigan,1
tagasagip,1
ngayong,1
sinagip,1
dating,1
kapalaran,1
anong,1
mahal,1
maligaya,1
naibalik,1
hiniram,1
mang,1
tapunan,1
rin,1
tambakan,1
kay,1
bulong,1
hinihintay,1
pinakamagandang,1
yakap,1
dekada,1
magaaral,1
sorpresang,1
naglambing,1
empleyado,1
sumigla,1
kawani,1
naiinip,1
nabubugnot,1
humiling,1
pusakal,1
pagsagip,1
matuto,1
bus,1
dalawang,1
dinayo,1
reputasyon,1
mukha,1
pagiging,1
nahilig,1
cruz,1
prrrrrrrrr,1
daan,1
mahinahong,1
maririnig,1
pasyente,1
nakakatulong,1
nars,1
ipaglaban,1
hospital,1
municipal,1
elena,1
santa,1
maysakit,1
paggaling,1
kuwento,1
basahan,1
gawain,1
school,1
elementary,1
miyembro,1
naisip,1
naghahanap,1
kukupkop,1
siopao,1
raw,1
naglalako,1
insidenteng,1
tsismis,1
malagim,1
alagain,1
aleng,1
dati,1
doo,1
kanto,1
itapon,1
iligaw,1
kang,1
balitang,1
kumalat,1
totoo,1
estante,1
dinala,1
sumiksik,1
gaya,1
taas,1
nakasalansan,1
koleksiyon,1
isaayos,1
nakaisip,1
kaalaman,1
mahilig,1
napalitan,1
namakyaw,1
sarisaring,1
silid,1
mumunting,1
kabinet,1
tokador,1
aparador,1
alamat,1
kinuha,1
edad,1
makipaghuntahan,1
nagmumula,1
tinuklas,1
napilitang,1
ngiyaw,1
salimbayang,1
tigil,1
hatinggabi,1
nanaisin,1
kumaluskos,1
tambak,1
napapansin,1
bibihira,1
takot,1
lote,1
tinatambakan,1
madilim,1
ingay,1
naggalawan,1
dalidali,1
puso,1
kamalasan,1
nagdadala,1
pamahiin,1
alintanang,1
titig,1
nagsusumamong,1
matutunaw,1
yata,1
tuyong,1
mapagkalinga,1
katangian,1
lumitaw,1
ina,1
tumambad,1
lapitan,1
dahon,1
natin,1
personalidad,1
sumunod,1
sinuman,1
tabi,1
mayari,1
hernandez,1
unang,1
katapat,1
naniniwala,1
nababagay,1
mahanap,1
seafood,1
hinayaan,1
pagbubukas,1
posteng,1
panggantsilyo,1
estambre,1
bolang,1
gatas,1
dagat,1
restaurant,1
bakuna,1
lunas,1
tinik,1
malulusaw,1
lalamunan,1
paa,1
ipahid,1
payo,1
natitinik,1
sarikulay,1
pitong,1
nanghiram,1
natapos,1
suwerte,1
daga,1
pantaboy,1
numero,1
suwerteng,1
boteng,1
paksiw,1
karanasan,1
malambing,1
antukin,1
7,1
matalas,1
bulag,1
6,1
takipsilim,1
mananayaw,1
3,1
kahel,1
miming,1
tala,1
makikita,1
katalogo,1
pahina,1
talento,1
natatanging,1
batugan,1
jinky,1
kalderong,1
paborito,1
magsauli,1
nahuhuling,1
multa,1
humihiram,1
pangangailangan,1
depende,1
hiramin,1
lihim,1
8,1
only,1
use,1
room,1
bukas,1
naglaon,1
bintihindi,1
pilay,1
nangangailangan,1
